"id","client_id","account_number","account_type","opening_date","balance","currency","is_active"
"1","1","TR229083888484937166449175","personal","2018-10-22","256.73","TRY","1"
"2","2","DE36728241656622023180","business","2024-06-26","811.07","USD","0"
"3","3","RU40MRHQ4401559398516","personal","2024-11-12","3692.91","RUB","1"
"4","4","IT91E6973522792494535538262","personal","2024-06-05","595.22","EUR","1"
"5","5","GB22BWEJ1498747707359","savings","2020-04-13","36104.76","EUR","1"
"6","6","ES8964870268800642955267","personal","2024-04-16","459.08","GBP","1"
"7","7","FR3211908690004472378355645","personal","2024-11-09","618.25","EUR","1"
"8","8","GB73IPFH17085630456629","savings","2017-10-31","227.49","USD","1"
"9","9","GB90AVCE89523691857850","personal","2025-12-30","3651.99","BRL","1"
"10","10","FR3571921375023464148959095","personal","2018-11-16","309.88","EUR","0"
"11","11","NL85IZWS1758028101","savings","2016-09-19","262.30","USD","1"
"12","12","GB71RPKB4293570001187","personal","2025-12-06","918.74","CNY","1"
"13","13","FR4639497960105909255768819","personal","2021-06-06","823.84","EUR","1"
"14","14","GB60CRIH55611918714848","personal","2022-10-08","7931.88","EUR","0"
"15","15","RU43HEMP0231340439921","personal","2025-04-12","536.46","RUB","1"
"16","16","TR393961083559883163634830","personal","2021-11-11","589.18","TRY","1"
"17","17","FR7824963528022976061543691","personal","2020-06-23","3537.81","EUR","0"
"18","18","GB27MEZZ66114278749720","savings","2025-05-15","599.56","JPY","1"
"19","19","GB14ELXA43600002776519","personal","2022-02-07","508.18","EUR","1"
"20","20","PL03160018571713988498629","personal","2023-09-28","631.53","PLN","1"
"21","21","GB96PMER16016332436457","savings","2017-11-12","80.42","GBP","1"
"22","22","GB08YXPW16967973770616","personal","2025-10-03","186.21","EUR","1"
"23","23","DE12790641603759461130","savings","2025-04-26","917780.37","EUR","1"
"24","24","RU82MYKB6140207829082","personal","2018-10-26","5448.12","RUB","1"
"25","25","DE92155792207154658148","personal","2024-02-13","897.79","EUR","1"
"26","26","GB70YJCD12247773151672","personal","2019-12-29","637.87","JPY","1"
"27","27","NL33BIMT5725725613","savings","2025-05-10","7758.39","EUR","1"
"28","28","GB90ZFFY38081408086604","personal","2022-08-15","120.12","JPY","1"
"29","29","ES2912678275929536815548","personal","2020-04-17","424.61","EUR","1"
"30","30","GB63UGSB64767707071184","savings","2019-07-03","337.71","USD","1"
"31","31","GB76LJDF34226921214117","personal","2019-12-17","2722.86","JPY","1"
"32","32","FR6502219089000465302855803","personal","2023-09-08","42.98","EUR","1"
"33","33","TR404268401961553582457265","savings","2017-03-16","988.96","GBP","1"
"34","34","GB57MGAJ53582067422802","personal","2025-08-19","6264.51","JPY","1"
"35","35","FR7622915283439326686445725","savings","2017-01-06","6602.15","EUR","1"
"36","36","RU20FMPO3540372584304","savings","2020-11-22","357.84","RUB","1"
"37","37","DE29842129026448139813","savings","2021-06-02","723.62","EUR","1"
"38","38","ES5802030381171774647177","savings","2021-08-05","537.36","EUR","1"
"39","39","IT87G2435131153635650318586","personal","2023-05-27","552.05","EUR","1"
"40","40","GB94IAIF8065901648974","personal","2024-09-15","633.95","CNY","1"
"41","41","GB26WBOB70238308707785","personal","2016-01-30","597.03","SEK","1"
"42","42","GB63VLSA37110815486475","personal","2022-07-03","74996.37","JPY","1"
"43","43","FR9546215020767018349832932","personal","2017-07-16","104095.85","GBP","1"
"44","44","GB37KOGI16530809265502","personal","2019-08-11","6187.61","EUR","1"
"45","45","GB10FZYI7744858696302","savings","2013-03-14","32.95","CNY","1"
"46","46","TR921160808465746188237356","personal","2016-03-25","834.82","EUR","0"
"47","47","RU09LDJD4413362347991","savings","2024-03-26","7722.31","RUB","1"
"48","48","NL50OITH9969899017","personal","2016-09-09","497.46","EUR","1"
"49","49","GB49TBTA21595474203022","business","2022-05-02","921.68","BRL","1"
"50","50","PL09114028104731453834399","personal","2015-03-14","756.66","PLN","1"
"51","51","ES4802900691726329335010","personal","2023-12-24","8653.53","EUR","0"
"52","52","GB26QRGM10380308830014","personal","2022-04-21","760.02","JPY","1"
"53","53","GB56AOFM28088541101358","personal","2021-03-30","939.19","USD","1"
"54","54","DE24060704183131087581","savings","2020-09-18","523.24","GBP","1"
"55","55","TR586579263468838098080539","personal","2024-11-30","452755.23","TRY","1"
"56","56","DE54439238923658790321","savings","2021-08-20","207.45","EUR","1"
"57","57","GB42IVLK9693753861677","savings","2023-03-24","154.49","CNY","1"
"58","58","GB44OYMY64671263531840","personal","2022-10-24","126.92","USD","1"
"59","59","ES0844007185654686241682","personal","2024-03-21","473.87","EUR","1"
"60","60","GB33DXSR43264742131170","personal","2025-06-11","953.99","GBP","0"
"61","61","RU93GYAK9582695450583","personal","2023-03-21","23216.40","RUB","1"
"62","62","PL93114022436291309567360","personal","2023-09-14","688.45","PLN","1"
"63","63","TR595371680825519444984988","personal","2020-08-04","390.09","EUR","1"
"64","64","GB81ZPKH16148199219845","personal","2025-01-18","7647.58","JPY","0"
"65","65","GB74JJCX58689726087949","savings","2023-02-23","1411.08","GBP","1"
"66","66","GB64CBMK15410936041261","savings","2023-11-25","629.69","EUR","1"
"67","67","ES7163618980262135274604","savings","2025-06-27","559072.11","USD","1"
"68","68","DE44482438621571705241","savings","2025-07-31","886.02","EUR","1"
"69","69","GB78QJVE42052575235271","savings","2024-07-28","8278.29","JPY","1"
"70","70","GB17CTQX90879743675565","personal","2021-12-24","671.62","BRL","1"
"71","71","ES8478356891635044744553","savings","2022-09-07","3866.43","EUR","1"
"72","72","GB03VWQE67481989172311","personal","2022-11-12","9890.63","USD","0"
"73","73","GB03JUSD35567538318783","savings","2021-11-08","1397.27","SEK","1"
"74","74","FR4605162023496153888191299","business","2024-11-24","695.48","EUR","1"
"75","75","DE95338666318879620491","personal","2019-09-28","778.09","EUR","1"
"76","76","FR9373024767961588356291103","personal","2024-07-22","64769.51","EUR","1"
"77","77","GB52ARPB80513711430432","savings","2025-08-20","4108.30","EUR","0"
"78","78","ES3194023033958685183240","personal","2023-08-16","639.63","EUR","1"
"79","79","GB90SUSR78912737757897","personal","2022-06-22","6365.96","USD","1"
"80","80","GB69YNUT19749427599231","personal","2011-10-25","640.85","USD","0"
"81","81","PL95160015114765161746906","personal","2017-12-19","594.72","PLN","1"
"82","82","GB62WNMI23412035233648","savings","2025-05-15","468.42","USD","1"
"83","83","GB58XXKE10951625844925","savings","2025-07-03","9290.28","GBP","1"
"84","84","IT52M4944433646259603555899","savings","2024-04-21","16.08","EUR","1"
"85","85","GB43FXDR5840584588308","personal","2018-08-28","7486.08","CNY","1"
"86","86","IT78K2602651226219634794741","personal","2022-07-26","9897.05","EUR","0"
"87","87","TR196107373964465171419266","personal","2024-12-23","983.01","TRY","1"
"88","88","RU11ITSH7491536576695","personal","2022-05-10","796.53","RUB","1"
"89","89","RU67IDMX5786411234926","personal","2025-11-20","505.55","USD","0"
"90","90","GB02WWMR05093611991288","personal","2020-08-26","740.07","SEK","1"
"91","91","GB24KDDL03092547276942","savings","2022-10-13","4156.49","GBP","1"
"92","92","RU54ZFEW7632490526457","personal","2018-12-08","560574.04","RUB","1"
"93","93","ES2306522036661202359948","personal","2021-03-01","999.13","EUR","0"
"94","94","GB12SIZL80106260293029","personal","2013-03-14","561.43","SEK","1"
"95","95","IT22G2470401755297905968765","personal","2021-08-10","714.40","EUR","1"
